title,price,stock,category,description
Pienter! Organic Long Sleeved Tee Brown Sugar,Rp 140.000,In Stock,cat1,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Long-Sleeved Tee Brown Sugar. Pakaian anak berupa kaus lengan panjang ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pienter! Organic Long Sleeved Tee Firecracker Orange,Rp 140.000,In Stock,cat1,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Long-Sleeved Tee Firecracker Orange. Pakaian anak berupa kaus lengan panjang ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pienter! Organic Long Sleeved Tee Gumdrop Green,Rp 140.000,In Stock,cat1,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Long-Sleeved Tee Gumdrop Green. Pakaian anak berupa kaus lengan panjang ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pienter! Organic Long Sleeved Tee Milky Blue,Rp 140.000,In Stock,cat1,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Long-Sleeved Tee Milky Blue. Pakaian anak berupa kaus lengan panjang ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pienter! Organic Long Sleeved Tee Pink Lemonade,Rp 140.000,In Stock,cat2,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Long-Sleeved Tee Pink Lemonade. Pakaian anak berupa kaus lengan panjang ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pienter! Organic Short Sleeved Onesie Brown Sugar,Rp 140.000,In Stock,cat2,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Short-Sleeved Onesie Brown Sugar. Pakaian anak berupa jumper lengan pendek ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pienter! Organic Short Sleeved Onesie Firecracker Org,Rp 140.000,In Stock,cat2,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Short-Sleeved Onesie Firecracker Orange. Pakaian anak berupa jumper lengan pendek ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pienter! Organic Short Sleeved Onesie Gumdrop Green,Rp 140.000,In Stock,cat1,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Short-Sleeved Onesie Gumdrop Green. Pakaian anak berupa jumper lengan pendek ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pienter! Organic Short Sleeved Onesie Milky Blue,Rp 140.000,In Stock,cat2,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Short-Sleeved Onesie Milky Blue. Pakaian anak berupa jumper lengan pendek ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pienter! Organic Short Sleeved Tee Blazing Yellow,Rp 120.000,In Stock,cat2,"Jadikan penampilan si kecil semakin menggemaskan dengan memakaikannya Pienter! Organic Short-Sleeved Tee Blazing Yellow. Pakaian anak berupa kaus lengan pendek ini terbuat dari bahan katun organik sehingga sangat aman dan nyaman saat dikenakan. Buah hati Anda pun akan beraktivitas dengan lebih ceria!. Model lucu dengan warna cerah yang menarik. Produk lokal buatan Indonesia. Soft fabric, bahan halus dan lembut"
Pokana Baby Diapers Super Jumbo Pants L 48,Rp 82.100,In Stock,cat3,"Pastikan bayi merasa nyaman saat beraktivitas dengan memakaikannya Pokana Baby Diapers Super Jumbo Pants L 48. Popok celana berdaya serap cepat yang didesain khusus untuk bayi dengan berat badan 9-14 kg.. Double side leak guards, mencegah resiko kebocoran samping. Breathable material dan rapid dry system untuk menjaga kulit bayi tetap kering. Permukaan berpori, membantu cairan cepat masuk dan sirkulasi udara yang baik (popok menjadi lebih kering dan mencegah iritasi)"
Sweety Pantz Gold Regular Pack M 34,Rp 97.100,In Stock,cat2,"Gunakan popok berbentuk celana praktis Sweety Pantz Gold Regular Pack L 28 untuk dipakaikan pada bayi yang aktif bergerak. Popok ini dilengkapi dengan Diamond Layer Technology, teknologi lapisan bermotif berlian yang menyerap cepat sehingga kulit bayi tetap kering.. Bahan lapisan sehalus kain yang menyentuh lembut kulit bayi. Karet lembut yang tidak menimbulkan iritasi dan mudah disobek. Dapat digunakan oleh bayi perempuan/laki-laki (unisex)"
Takoyakids Adorable Polkadot Dress Girl Mint,Rp 89.900,In Stock,cat2,"Pakaian Takoyakids sangat adem dan nyaman untuk dikenakan anak perempuan yang berusia 6 bulan – 3 tahun. Dibuat dengan desain yang trendy dan lucu, membuat Si Kecil tampil lebih stylish, bergaya, dan tetap nyaman saat beraktivitas."
Takoyakids Betsy Floral Sets Girl Pink,Rp 109.900,In Stock,cat3,"Pakaian Takoyakids sangat adem dan nyaman untuk dikenakan anak perempuan yang berusia 6 bulan – 3 tahun. Dibuat dengan desain yang trendy dan lucu, membuat Si Kecil tampil lebih stylish, bergaya, dan tetap nyaman saat beraktivitas."
Takoyakids Everyday Darling Rabbit Sets Girl Yellow,Rp 89.900,In Stock,cat1,"Pakaian Takoyakids sangat adem dan nyaman untuk dikenakan anak perempuan yang berusia 6 bulan – 3 tahun. Dibuat dengan desain yang trendy dan lucu, membuat Si Kecil tampil lebih stylish, bergaya, dan tetap nyaman saat beraktivitas."
Takoyakids Kira Kimono Dress Sets Baby Pink,Rp 99.000,In Stock,cat2,"Yuk, lengkapi koleksi pakaian buah hati Anda dengan mendapatkan Takoyakids Kira Kimono Dress Sets Baby Pink. Pakaian anak berupa kimono dress dan celana bloomers ini terbuat dari bahan Single Jersey berkualitas tinggi sehingga nyaman dikenakan oleh si kecil.. Detail tali pita di bagian kiri. Cocok dikenakan saat bepergian atau bermain. Ideal untuk anak perempuan"
Takoyakids Kira Kimono Dress Sets Misty Gray,Rp 99.000,In Stock,cat2,"Yuk, lengkapi koleksi pakaian buah hati Anda dengan mendapatkan Takoyakids Kira Kimono Dress Sets Misty Gray. Pakaian anak berupa kimono dress dan celana bloomers ini terbuat dari bahan Single Jersey berkualitas tinggi sehingga nyaman dikenakan oleh si kecil.. Detail tali pita di bagian kiri. Cocok dikenakan saat bepergian atau bermain. Ideal untuk anak perempuan"
Takoyakids Lyla Racer Back Dress Terracota,Rp 95.000,In Stock,cat2,"Yuk, lengkapi koleksi pakaian buah hati Anda dengan mendapatkan Takoyakids Lyla Racel Back Dress Terracota. Pakaian anak berupa dress dan celana bloomers ini terbuat dari bahan Jersey berkualitas tinggi sehingga nyaman dikenakan oleh si kecil.. Detail bukaan kancing belakang. Cocok dikenakan saat bepergian atau bermain. Ideal untuk anak perempuan"
Takoyakids Remi Harem Jumpsuit Olive,Rp 89.000,In Stock,cat2,"Yuk, lengkapi koleksi pakaian buah hati Anda dengan mendapatkan Takoyakids Remi Harem Jumpsuit Olive. Pakaian anak berupa harem jumpsuit ini terbuat dari bahan Jersey berkualitas tinggi sehingga nyaman dikenakan oleh si kecil.. Jumpsuit kaus tanpa lengan dengan model celana Harem. Terdapat 2 kantong tempel di bagian depan. Ideal untuk anak perempuan"
Takoyakids Sally Knit Girl Cardigan Pink,Rp 129.000,In Stock,cat3,Cardigan. Warna Pink. Detail kancing depan. Mungkin terdapat perbedaan warna produk yang terlihat pada monitor dibanding warna sebenarnya
Takoyakids Willow Dress Girl Peach,Rp 89.900,In Stock,cat2,"Pakaian Takoyakids sangat adem dan nyaman untuk dikenakan anak perempuan yang berusia 6 bulan – 3 tahun. Dibuat dengan desain yang trendy dan lucu, membuat Si Kecil tampil lebih stylish, bergaya, dan tetap nyaman saat beraktivitas."
Takoyakids Zuna Girl Pants Pink,Rp 109.000,In Stock,cat1,Celana Panjang. Girl. Karet Pinggang. Mungkin terdapat perbedaan warna produk yang terlihat pada monitor dibanding warna sebenarnya
